,Time,T1,T2,Q1,Q2
0,0.0,21.87,21.55,75.0,0.0
1,1.01,21.87,21.87,75.0,0.0
2,2.01,21.87,21.87,75.0,0.0
3,3.0,21.87,21.55,75.0,0.0
4,4.02,21.55,21.55,75.0,0.0
5,5.01,21.87,21.55,75.0,0.0
6,6.0,21.87,21.55,75.0,0.0
7,7.02,21.87,21.87,75.0,0.0
8,8.02,21.87,21.55,75.0,0.0
9,9.01,21.87,21.55,75.0,0.0
10,10.0,22.2,21.55,75.0,0.0
11,11.01,22.2,21.55,75.0,0.0
12,12.01,22.2,21.55,75.0,0.0
13,13.01,22.52,21.55,75.0,0.0
14,14.0,22.52,21.55,75.0,0.0
15,15.0,22.84,21.55,75.0,0.0
16,16.01,22.84,21.55,75.0,0.0
17,17.0,23.16,21.55,75.0,0.0
18,18.01,23.16,21.55,75.0,0.0
19,19.01,23.48,21.55,75.0,0.0
20,20.02,23.48,21.55,75.0,0.0
21,21.01,23.81,21.87,75.0,0.0
22,22.01,24.13,21.55,75.0,0.0
23,23.01,24.13,21.87,75.0,0.0
24,24.01,24.45,21.87,75.0,0.0
25,25.0,24.77,21.87,75.0,0.0
26,26.01,24.77,21.55,75.0,0.0
27,27.0,25.1,21.55,75.0,0.0
28,28.01,25.42,21.87,75.0,0.0
29,29.01,25.42,21.87,75.0,0.0
30,30.0,25.74,21.87,75.0,0.0
31,31.01,26.06,21.87,75.0,0.0
32,32.01,26.39,21.87,75.0,0.0
33,33.01,26.71,21.87,75.0,0.0
34,34.01,26.71,21.87,75.0,0.0
35,35.0,27.03,21.87,75.0,0.0
36,36.02,27.35,21.87,75.0,0.0
37,37.01,27.67,21.87,75.0,0.0
38,38.01,28.0,21.87,75.0,0.0
39,39.01,28.0,21.87,75.0,0.0
40,40.0,28.32,21.87,75.0,0.0
41,41.01,28.64,21.87,75.0,0.0
42,42.01,28.96,21.87,75.0,0.0
43,43.01,28.96,22.2,75.0,0.0
44,44.01,29.29,21.87,75.0,0.0
45,45.0,29.61,22.2,75.0,0.0
46,46.01,29.93,22.2,75.0,0.0
47,47.01,30.25,22.2,75.0,0.0
48,48.0,30.57,22.2,75.0,0.0
49,49.0,30.57,22.2,75.0,0.0
50,50.02,30.9,22.2,75.0,0.0
51,51.01,31.22,22.2,75.0,0.0
52,52.0,31.22,22.2,75.0,0.0
53,53.01,31.86,22.2,75.0,0.0
54,54.01,32.19,22.52,75.0,0.0
55,55.01,32.19,22.2,75.0,0.0
56,56.01,32.51,22.52,75.0,0.0
57,57.02,32.83,22.2,75.0,0.0
58,58.01,33.15,22.52,75.0,0.0
59,59.01,33.15,22.2,75.0,0.0
60,60.01,33.48,22.52,75.0,0.0
61,61.0,33.8,22.52,75.0,0.0
62,62.0,34.12,22.52,75.0,0.0
63,63.01,34.44,22.52,75.0,0.0
64,64.01,34.76,22.52,75.0,0.0
65,65.01,34.76,22.52,75.0,0.0
66,66.0,35.09,22.84,75.0,0.0
67,67.01,35.41,22.84,75.0,0.0
68,68.01,35.73,22.84,75.0,0.0
69,69.0,36.05,22.84,75.0,0.0
70,70.01,36.38,22.84,75.0,0.0
71,71.0,36.38,22.84,75.0,0.0
72,72.01,36.7,23.16,75.0,0.0
73,73.01,37.02,22.84,75.0,0.0
74,74.0,37.34,23.16,75.0,0.0
75,75.01,37.34,23.16,75.0,0.0
76,76.01,37.67,23.16,75.0,0.0
77,77.0,37.99,23.16,75.0,0.0
78,78.01,37.99,23.16,75.0,0.0
79,79.01,38.31,23.16,75.0,0.0
80,80.0,38.63,23.16,75.0,0.0
81,81.0,38.95,23.16,75.0,0.0
82,82.01,38.95,23.16,75.0,0.0
83,83.0,39.28,23.48,75.0,0.0
84,84.01,39.6,23.48,75.0,0.0
85,85.01,39.92,23.48,75.0,0.0
86,86.01,39.92,23.48,75.0,0.0
87,87.01,40.24,23.48,75.0,0.0
88,88.01,40.57,23.48,75.0,0.0
89,89.01,40.89,23.81,75.0,0.0
90,90.0,41.21,23.81,75.0,0.0
91,91.01,41.21,23.81,75.0,0.0
92,92.01,41.53,23.81,75.0,0.0
93,93.01,41.86,23.81,75.0,0.0
94,94.01,42.18,24.13,75.0,0.0
95,95.0,42.18,24.13,75.0,0.0
96,96.0,42.5,24.13,75.0,0.0
97,97.0,42.5,24.13,75.0,0.0
98,98.01,42.82,24.13,75.0,0.0
99,99.01,43.14,24.13,75.0,0.0
100,100.01,43.14,24.45,75.0,0.0
101,101.01,43.47,24.13,75.0,0.0
102,102.0,43.79,24.45,75.0,0.0
103,103.01,44.11,24.45,75.0,0.0
104,104.01,44.11,24.45,75.0,0.0
105,105.01,44.43,24.45,75.0,0.0
106,106.01,44.43,24.45,75.0,0.0
107,107.01,44.76,24.45,75.0,0.0
108,108.02,45.08,24.77,75.0,0.0
109,109.0,45.4,24.77,75.0,0.0
110,110.01,45.4,24.77,75.0,0.0
111,111.01,45.72,24.77,75.0,0.0
112,112.01,45.72,24.77,75.0,0.0
113,113.01,46.05,24.77,75.0,0.0
114,114.01,46.37,25.1,75.0,0.0
115,115.01,46.37,25.1,75.0,0.0
116,116.0,46.69,25.1,75.0,0.0
117,117.01,46.69,25.1,75.0,0.0
118,118.01,47.01,25.42,75.0,0.0
119,119.0,47.01,25.42,75.0,0.0
120,120.01,47.33,25.42,75.0,0.0
121,121.02,47.33,25.42,75.0,0.0
122,122.01,47.66,25.42,75.0,0.0
123,123.01,47.98,25.42,75.0,0.0
124,124.01,47.98,25.74,75.0,0.0
125,125.01,47.98,25.74,75.0,0.0
126,126.01,48.3,25.74,75.0,0.0
127,127.02,48.62,25.74,75.0,0.0
128,128.01,48.62,25.74,75.0,0.0
129,129.01,48.95,25.74,75.0,0.0
130,130.01,48.95,25.74,75.0,0.0
131,131.02,48.95,26.06,75.0,0.0
132,132.01,49.27,26.06,75.0,0.0
133,133.01,49.59,26.06,75.0,0.0
134,134.01,49.59,26.06,75.0,0.0
135,135.01,49.91,26.06,75.0,0.0
136,136.0,49.91,26.39,75.0,0.0
137,137.01,50.24,26.39,75.0,0.0
138,138.0,50.24,26.39,75.0,0.0
139,139.01,50.56,26.39,75.0,0.0
140,140.01,50.56,26.39,75.0,0.0
141,141.0,50.88,26.71,75.0,0.0
142,142.0,50.88,26.71,75.0,0.0
143,143.01,51.2,26.71,75.0,0.0
144,144.0,51.2,26.71,75.0,0.0
145,145.01,51.52,26.71,75.0,0.0
146,146.01,51.52,27.03,75.0,0.0
147,147.01,51.85,27.03,75.0,0.0
148,148.0,51.85,27.03,75.0,0.0
149,149.01,51.85,27.03,75.0,0.0
150,150.02,52.17,27.03,75.0,0.0
151,151.01,52.17,27.03,75.0,0.0
152,152.02,52.49,27.03,75.0,0.0
153,153.0,52.49,27.35,75.0,0.0
154,154.0,52.81,27.35,75.0,0.0
155,155.0,52.81,27.35,75.0,0.0
156,156.01,52.81,27.35,75.0,0.0
157,157.01,53.14,27.67,75.0,0.0
158,158.01,53.14,27.35,75.0,0.0
159,159.02,53.46,27.67,75.0,0.0
160,160.01,53.46,27.67,75.0,0.0
161,161.01,53.78,27.67,75.0,0.0
162,162.0,53.78,27.67,75.0,0.0
163,163.0,54.1,28.0,75.0,0.0
164,164.01,54.1,28.0,75.0,0.0
165,165.0,54.1,28.0,75.0,0.0
166,166.01,54.75,28.0,75.0,0.0
167,167.01,54.43,28.0,75.0,0.0
168,168.01,54.75,28.0,75.0,0.0
169,169.0,54.75,28.32,75.0,0.0
170,170.01,55.07,28.32,75.0,0.0
171,171.01,55.07,28.32,75.0,0.0
172,172.0,55.39,28.32,75.0,0.0
173,173.01,55.39,28.32,75.0,0.0
174,174.01,55.39,28.32,75.0,0.0
175,175.01,55.71,28.64,75.0,0.0
176,176.01,55.71,28.64,75.0,0.0
177,177.01,56.04,28.64,75.0,0.0
178,178.01,56.04,28.64,75.0,0.0
179,179.01,56.04,28.64,75.0,0.0
180,180.02,56.36,28.96,75.0,0.0
181,181.0,56.36,28.96,75.0,0.0
182,182.01,56.68,28.96,75.0,0.0
183,183.02,56.68,28.96,75.0,0.0
184,184.01,57.0,28.96,75.0,0.0
185,185.01,57.0,29.29,75.0,0.0
186,186.0,57.0,29.29,75.0,0.0
187,187.0,57.33,29.29,75.0,0.0
188,188.01,57.33,29.29,75.0,0.0
189,189.01,57.65,29.29,75.0,0.0
190,190.0,57.65,29.29,75.0,0.0
191,191.01,57.65,29.29,75.0,0.0
192,192.01,57.97,29.29,75.0,0.0
193,193.01,57.97,29.61,75.0,0.0
194,194.0,57.97,29.61,75.0,0.0
195,195.01,58.29,29.29,75.0,0.0
196,196.01,58.29,29.61,75.0,0.0
197,197.0,58.62,29.61,75.0,0.0
198,198.01,58.62,29.93,75.0,0.0
199,199.01,58.62,29.93,75.0,0.0
200,200.01,58.62,29.93,75.0,0.0
201,201.01,58.94,29.93,75.0,0.0
202,202.0,58.94,29.93,75.0,0.0
203,203.01,59.26,29.93,75.0,0.0
204,204.01,59.26,29.93,75.0,0.0
205,205.01,59.26,29.93,75.0,0.0
206,206.01,59.58,29.93,75.0,0.0
207,207.01,59.58,30.25,75.0,0.0
208,208.0,59.58,30.25,75.0,0.0
209,209.01,59.9,30.25,75.0,0.0
210,210.0,59.9,30.25,75.0,0.0
211,211.0,60.23,30.57,75.0,0.0
212,212.01,60.23,30.25,75.0,0.0
213,213.01,60.23,30.57,75.0,0.0
214,214.01,60.55,30.57,75.0,0.0
215,215.01,60.55,30.57,75.0,0.0
216,216.01,60.55,30.57,75.0,0.0
217,217.01,60.87,30.57,75.0,0.0
218,218.0,60.87,30.57,75.0,0.0
219,219.01,60.87,30.9,75.0,0.0
220,220.02,60.87,30.9,75.0,0.0
221,221.0,61.19,30.9,75.0,0.0
222,222.0,60.87,30.9,75.0,0.0
223,223.0,61.19,30.9,75.0,0.0
224,224.0,61.19,30.9,75.0,0.0
225,225.01,61.19,31.22,75.0,0.0
226,226.01,61.19,31.22,75.0,0.0
227,227.0,61.52,31.22,75.0,0.0
228,228.01,61.52,31.22,75.0,0.0
229,229.01,61.84,31.54,75.0,0.0
230,230.0,61.84,31.22,75.0,0.0
231,231.01,61.84,31.54,75.0,0.0
232,232.01,61.84,31.54,75.0,0.0
233,233.01,61.84,31.54,75.0,0.0
234,234.01,61.84,31.54,75.0,0.0
235,235.0,62.16,31.54,75.0,0.0
236,236.01,62.16,31.86,75.0,0.0
237,237.01,62.16,31.86,75.0,0.0
238,238.01,62.48,31.86,75.0,0.0
239,239.01,62.48,31.86,75.0,0.0
240,240.01,62.48,31.86,75.0,0.0
241,241.01,62.48,31.86,75.0,0.0
242,242.01,62.48,32.19,75.0,0.0
243,243.01,62.8,32.19,75.0,0.0
244,244.01,62.8,32.19,75.0,0.0
245,245.01,62.8,31.86,75.0,0.0
246,246.01,63.13,32.19,75.0,0.0
247,247.01,63.13,32.19,75.0,0.0
248,248.0,63.13,32.51,75.0,0.0
249,249.01,63.13,32.51,75.0,0.0
250,250.0,63.13,32.51,75.0,0.0
251,251.0,63.13,32.51,75.0,0.0
252,252.01,63.45,32.51,75.0,0.0
253,253.01,63.45,32.51,75.0,0.0
254,254.01,63.45,32.51,75.0,0.0
255,255.01,63.45,32.83,75.0,0.0
256,256.01,63.77,32.51,75.0,0.0
257,257.01,63.77,32.83,75.0,0.0
258,258.0,63.77,32.83,75.0,0.0
259,259.01,63.77,32.83,75.0,0.0
260,260.01,64.09,32.83,75.0,0.0
261,261.01,64.09,32.83,75.0,0.0
262,262.01,64.09,33.15,75.0,0.0
263,263.01,64.09,33.15,75.0,0.0
264,264.01,64.09,33.15,75.0,0.0
265,265.01,64.42,33.15,75.0,0.0
266,266.0,64.42,33.15,75.0,0.0
267,267.01,64.42,33.15,75.0,0.0
268,268.01,64.74,33.15,75.0,0.0
269,269.01,64.74,33.15,75.0,0.0
270,270.01,64.74,33.48,75.0,0.0
271,271.0,64.74,33.48,75.0,0.0
272,272.01,64.74,33.48,75.0,0.0
273,273.01,64.74,33.48,75.0,0.0
274,274.0,65.06,33.48,75.0,0.0
275,275.01,65.06,33.48,75.0,0.0
276,276.01,65.06,33.48,75.0,0.0
277,277.01,65.06,33.8,75.0,0.0
278,278.01,65.38,33.8,75.0,0.0
279,279.01,65.06,33.8,75.0,0.0
280,280.0,65.38,33.8,75.0,0.0
281,281.01,65.38,33.8,75.0,0.0
282,282.01,65.38,33.8,75.0,0.0
283,283.0,65.38,33.8,75.0,0.0
284,284.01,65.38,34.12,75.0,0.0
285,285.01,65.38,33.8,75.0,0.0
286,286.01,65.38,34.12,75.0,0.0
287,287.01,65.71,34.12,75.0,0.0
288,288.0,65.71,34.12,75.0,0.0
289,289.01,65.71,34.44,75.0,0.0
290,290.0,65.71,34.12,75.0,0.0
291,291.01,65.71,34.44,75.0,0.0
292,292.01,65.71,34.12,75.0,0.0
293,293.0,66.03,34.44,75.0,0.0
294,294.01,66.03,34.44,75.0,0.0
295,295.01,66.03,34.44,75.0,0.0
296,296.0,66.03,34.44,75.0,0.0
297,297.01,66.03,34.44,75.0,0.0
298,298.0,66.03,34.44,75.0,0.0
299,299.01,66.35,34.44,75.0,0.0
300,300.0,66.35,34.44,75.0,0.0
