,Time,T1,T2,Q1,Q2
0,0.0,23.16,22.84,0.0,0.0
1,1.0,23.16,22.84,0.0,0.0
2,2.0,23.16,22.84,0.0,0.0
3,3.02,23.16,22.84,0.0,0.0
4,4.01,23.16,22.84,0.0,0.0
5,5.0,23.16,22.84,0.0,0.0
6,6.02,23.16,22.84,0.0,0.0
7,7.01,23.16,22.84,0.0,0.0
8,8.01,23.16,22.84,0.0,0.0
9,9.01,23.16,22.84,0.0,0.0
10,10.0,23.16,22.84,0.0,0.0
11,11.01,23.16,22.84,0.0,0.0
12,12.01,23.16,22.84,0.0,0.0
13,13.0,23.16,22.84,0.0,0.0
14,14.02,23.16,22.84,0.0,0.0
15,15.01,23.16,22.84,0.0,0.0
16,16.01,23.16,22.84,0.0,0.0
17,17.0,23.16,22.84,0.0,0.0
18,18.02,23.16,22.84,0.0,0.0
19,19.01,23.16,22.84,0.0,0.0
20,20.01,23.16,22.84,0.0,0.0
21,21.01,23.16,22.84,0.0,0.0
22,22.01,23.16,22.84,0.0,0.0
23,23.01,23.16,22.84,0.0,0.0
24,24.01,23.16,22.84,0.0,0.0
25,25.01,23.16,22.84,0.0,0.0
26,26.0,23.16,22.84,0.0,0.0
27,27.01,23.16,22.84,0.0,0.0
28,28.01,23.16,22.84,0.0,0.0
29,29.01,23.16,22.84,0.0,0.0
30,30.01,23.16,22.84,75.0,0.0
31,31.0,23.16,22.84,75.0,0.0
32,32.0,23.16,22.84,75.0,0.0
33,33.01,23.16,22.84,75.0,0.0
34,34.0,23.16,22.84,75.0,0.0
35,35.01,23.16,22.84,75.0,0.0
36,36.01,23.16,22.84,75.0,0.0
37,37.0,23.16,22.84,75.0,0.0
38,38.0,23.16,22.84,75.0,0.0
39,39.01,23.48,22.84,75.0,0.0
40,40.01,23.48,22.84,75.0,0.0
41,41.01,23.48,22.84,75.0,0.0
42,42.01,23.81,22.84,75.0,0.0
43,43.01,23.81,22.84,75.0,0.0
44,44.01,24.13,22.84,75.0,0.0
45,45.01,24.13,22.84,75.0,0.0
46,46.01,24.13,22.84,75.0,0.0
47,47.01,24.45,22.84,75.0,0.0
48,48.0,24.45,22.84,75.0,0.0
49,49.01,24.77,22.84,75.0,0.0
50,50.01,25.1,22.84,75.0,0.0
51,51.0,25.1,22.84,75.0,0.0
52,52.01,25.42,22.84,75.0,0.0
53,53.01,25.42,22.84,75.0,0.0
54,54.01,25.74,22.84,75.0,0.0
55,55.02,26.06,22.84,75.0,0.0
56,56.01,26.39,23.16,75.0,0.0
57,57.01,26.39,23.16,75.0,0.0
58,58.0,26.71,22.84,75.0,0.0
59,59.0,27.03,22.84,75.0,0.0
60,60.01,27.03,22.84,75.0,0.0
61,61.01,27.35,22.84,75.0,0.0
62,62.01,27.67,22.84,75.0,0.0
63,63.01,28.0,22.84,75.0,0.0
64,64.02,28.0,23.16,75.0,0.0
65,65.01,28.32,23.16,75.0,0.0
66,66.01,28.64,23.16,75.0,0.0
67,67.02,28.96,23.16,75.0,0.0
68,68.01,29.29,23.16,75.0,0.0
69,69.01,29.29,23.16,75.0,0.0
70,70.0,29.61,23.16,75.0,0.0
71,71.01,29.93,23.16,75.0,0.0
72,72.01,30.25,23.16,75.0,0.0
73,73.01,30.57,23.16,75.0,0.0
74,74.0,30.9,23.48,75.0,0.0
75,75.01,30.9,23.16,75.0,0.0
76,76.01,31.22,23.16,75.0,0.0
77,77.01,31.54,23.16,75.0,0.0
78,78.01,31.86,23.16,75.0,0.0
79,79.0,31.86,23.16,75.0,0.0
80,80.01,32.19,23.48,75.0,0.0
81,81.01,32.51,23.48,75.0,0.0
82,82.01,32.83,23.48,75.0,0.0
83,83.01,33.15,23.48,75.0,0.0
84,84.02,33.48,23.48,75.0,0.0
85,85.01,33.48,23.48,75.0,0.0
86,86.01,33.8,23.48,75.0,0.0
87,87.01,34.12,23.48,75.0,0.0
88,88.01,34.12,23.48,75.0,0.0
89,89.0,34.44,23.48,75.0,0.0
90,90.01,34.76,23.48,75.0,0.0
91,91.01,35.09,23.48,75.0,0.0
92,92.0,35.41,23.81,75.0,0.0
93,93.01,35.73,23.81,75.0,0.0
94,94.01,36.05,23.81,75.0,0.0
95,95.0,36.05,23.81,75.0,0.0
96,96.01,36.38,23.81,75.0,0.0
97,97.01,36.7,23.81,75.0,0.0
98,98.0,37.02,23.81,75.0,0.0
99,99.01,37.02,24.13,75.0,0.0
100,100.01,37.34,24.13,75.0,0.0
101,101.0,37.67,24.13,75.0,0.0
102,102.01,37.99,24.13,75.0,0.0
103,103.0,38.31,24.13,75.0,0.0
104,104.01,38.31,24.13,75.0,0.0
105,105.0,38.63,24.13,75.0,0.0
106,106.0,38.95,24.13,75.0,0.0
